iter	Passed	Remaining
406	5134	70556
407	5145	70525
408	5156	70484
409	5165	70426
410	5174	70359
411	5184	70321
412	5196	70293
413	5205	70241
414	5216	70207
415	5227	70168
416	5237	70122
417	5248	70082
418	5259	70056
419	5268	69989
420	5277	69941
421	5286	69876
422	5299	69864
423	5309	69829
424	5318	69770
425	5329	69734
426	5339	69684
427	5352	69678
428	5364	69657
429	5378	69666
430	5391	69663
431	5400	69603
432	5411	69579
433	5421	69532
434	5430	69474
435	5440	69425
436	5447	69349
437	5458	69315
438	5468	69267
439	5478	69224
440	5488	69182
441	5498	69146
442	5510	69123
443	5522	69101
444	5533	69073
445	5544	69043
446	5555	69018
447	5565	68973
448	5575	68929
449	5584	68879
450	5595	68846
451	5604	68797
452	5614	68753
453	5624	68704
454	5633	68659
455	5643	68607
456	5654	68580
457	5663	68526
458	5673	68492
459	5683	68443
460	5694	68414
461	5705	68392
462	5714	68344
463	5725	68315
464	5739	68322
465	5752	68311
466	5761	68261
467	5771	68227
468	5781	68181
469	5793	68167
470	5806	68164
471	5815	68113
472	5827	68095
473	5838	68067
474	5852	68076
475	5862	68038
476	5874	68023
477	5887	68010
478	5896	67963
479	5908	67949
480	5919	67924
481	5930	67890
482	5944	67895
483	5973	68079
484	5986	68070
485	5996	68030
486	6006	67993
487	6017	67965
488	6026	67921
489	6037	67895
490	6048	67869
491	6058	67830
492	6070	67805
493	6081	67781
494	6090	67737
495	6101	67709
496	6111	67665
497	6122	67640
498	6133	67613
499	6142	67569
500	6153	67541
501	6163	67504
502	6173	67464
503	6183	67434
504	6193	67389
505	6203	67353
506	6214	67330
507	6224	67291
508	6235	67268
509	6246	67246
510	6254	67182
511	6266	67163
512	6279	67160
513	6288	67123
514	6300	67105
515	6312	67086
516	6320	67034
517	6333	67024
518	6345	67009
519	6356	66991
520	6369	66979
521	6378	66937
522	6397	66991
523	6409	66981
524	6421	66961
525	6433	66949
526	6443	66919
527	6453	66880
528	6465	66867
529	6476	66837
530	6487	66815
531	6500	66816
532	6510	66773
533	6519	66737
534	6531	66716
535	6543	66701
536	6553	66671
537	6565	66651
538	6575	66626
539	6585	66586
540	6597	66568
541	6607	66536
542	6617	66503
543	6628	66483
544	6639	66457
545	6650	66430
546	6661	66406
547	6670	66364
548	6680	66334
549	6691	66309
550	6701	66273
551	6713	66257
552	6723	66222
553	6732	66180
554	6743	66156
555	6756	66155
556	6765	66117
557	6775	66082
558	6787	66064
559	6796	66027
560	6808	66005
561	6818	65977
562	6829	65953
563	6841	65941
564	6853	65924
565	6863	65895
566	6874	65876
567	6884	65835
568	6896	65823
569	6908	65814
570	6921	65805
571	6931	65771
572	6943	65758
573	6954	65738
574	6990	65958
575	7006	65977
576	7015	65940
577	7025	65904
578	7038	65895
579	7049	65872
580	7058	65831
581	7068	65799
582	7076	65756
583	7088	65738
584	7097	65695
585	7110	65689
586	7120	65662
587	7131	65634
588	7142	65617
589	7152	65581
590	7160	65536
591	7171	65514
592	7181	65485
593	7192	65458
594	7204	65445
595	7214	65417
596	7224	65380
597	7234	65356
598	7245	65329
599	7255	65301
600	7267	65282
601	7276	65249
602	7287	65227
603	7298	65206
604	7307	65164
605	7318	65144
606	7326	65095
607	7335	65056
608	7346	65031
609	7356	65003
610	7369	64999
611	7380	64977
612	7389	64936
613	7399	64910
614	7412	64901
615	7425	64902
616	7438	64900
617	7450	64888
618	7463	64884
619	7483	64933
620	7498	64951
621	7512	64955
622	7525	64952
623	7538	64948
624	7555	64973
625	7578	65056
626	7595	65092
627	7615	65147
628	7637	65212
629	7653	65238
630	7669	65259
631	7684	65271
632	7697	65262
633	7709	65254
634	7720	65225
635	7733	65224
636	7744	65202
637	7754	65172
638	7768	65179
639	7780	65165
640	7791	65143
641	7802	65114
642	7813	65098
643	7825	65082
644	7836	65062
645	7849	65056
646	7861	65045
647	7873	65028
648	7883	65000
649	7892	64962
650	7902	64935
651	7913	64910
652	7926	64904
653	7944	64940
654	7961	64965
655	7978	64995
656	8032	65327
657	8067	65496
658	8120	65814
659	8177	66160
660	8210	66314
661	8221	66295
662	8231	66260
663	8242	66240
664	8253	66217
665	8264	66186
666	8275	66164
667	8286	66139
668	8296	66113
669	8310	66112
670	8322	66096
671	8335	66091
672	8347	66072
673	8360	66064
674	8371	66044
675	8381	66008
676	8393	65994
677	8405	65975
678	8419	65980
679	8429	65950
680	8441	65931
681	8453	65917
682	8467	65915
683	8481	65913
684	8492	65892
685	8503	65874
686	8516	65860
687	8524	65819
688	8536	65800
689	8544	65758
690	8557	65744
691	8568	65728
692	8577	65689
693	8588	65665
694	8598	65632
695	8607	65594
696	8617	65565
697	8626	65529
698	8637	65507
699	8650	65498
700	8665	65506
701	8679	65504
702	8697	65534
703	8714	65559
704	8725	65535
705	8739	65530
706	8754	65543
707	8767	65534
708	8781	65536
709	8793	65519
710	8810	65536
711	8819	65503
712	8830	65479
713	8840	65446
714	8854	65447
715	8878	65525
716	8896	65552
717	8915	65584
718	8930	65590
719	8941	65573
720	8960	65603
721	8969	65565
722	8981	65552
723	8992	65534
724	9002	65498
725	9013	65475
726	9026	65470
727	9066	65660
728	9083	65675
729	9095	65658
730	9107	65646
731	9115	65605
732	9126	65580
733	9138	65563
734	9148	65529
735	9160	65517
736	9172	65498
737	9183	65482
738	9196	65473
739	9208	65458
740	9220	65438
741	9230	65408
742	9241	65389
743	9250	65353
744	9261	65326
745	9272	65305
746	9283	65280
747	9294	65260
748	9305	65238
749	9315	65207
750	9325	65182
751	9334	65140
752	9344	65111
753	9355	65089
754	9364	65058
755	9375	65032
756	9387	65015
757	9396	64984
758	9407	64959
759	9417	64933
760	9426	64895
761	9441	64903
762	9452	64879
763	9467	64884
764	9476	64849
765	9490	64847
766	9506	64857
767	9516	64829
768	9525	64799
769	9536	64773
770	9546	64745
771	9557	64723
772	9568	64698
773	9578	64671
774	9588	64647
775	9598	64618
776	9608	64590
777	9620	64572
778	9629	64535
779	9640	64513
780	9652	64500
781	9661	64467
782	9672	64448
783	9685	64438
784	9695	64411
785	9705	64383
786	9721	64392
787	9739	64416
788	9753	64417
789	9764	64398
790	9775	64376
791	9788	64367
792	9804	64377
793	9816	64364
794	9825	64331
795	9839	64325
796	9851	64312
797	9861	64284
798	9871	64258
799	9883	64240
800	9892	64209
801	9902	64184
802	9913	64162
803	9924	64138
804	9935	64116
805	9946	64097
806	9958	64079
807	9967	64049
808	9980	64043
809	9992	64028
810	10002	63997
811	10013	63978
812	10024	63959
813	10034	63927
814	10049	63934
815	10090	64103
816	10103	64093
817	10116	64087
818	10129	64077
819	10142	64073
820	10155	64062
821	10167	64045
822	10179	64031
823	10194	64037
824	10207	64028
825	10221	64024
826	10231	64002
827	10243	63984
828	10256	63975
829	10270	63973
830	10279	63940
831	10292	63934
832	10303	63912
833	10313	63885
834	10325	63868
835	10336	63849
836	10346	63820
837	10355	63788
838	10366	63768
839	10377	63745
840	10388	63723
841	10398	63701
842	10408	63676
843	10420	63656
844	10432	63643
845	10442	63615
846	10455	63607
847	10464	63577
848	10474	63547
849	10485	63529
850	10497	63513
851	10507	63486
852	10521	63487
853	10535	63482
854	10547	63467
855	10556	63438
856	10568	63421
857	10577	63391
858	10591	63386
859	10601	63364
860	10612	63341
861	10621	63312
862	10633	63297
863	10645	63280
864	10653	63244
865	10664	63224
866	10674	63196
867	10686	63182
868	10699	63176
869	10708	63141
870	10719	63122
871	10729	63094
872	10739	63070
873	10750	63052
874	10762	63036
875	10772	63012
876	10785	63002
877	10796	62985
878	10809	62977
879	10821	62964
880	10833	62946
881	10846	62940
882	10860	62937
883	10870	62910
884	10883	62902
885	10895	62889
886	10904	62859
887	10917	62851
888	10931	62844
889	10941	62822
890	10954	62810
891	10965	62791
892	10975	62768
893	10985	62745
894	10996	62722
895	11007	62704
896	11018	62683
897	11029	62665
898	11042	62654
899	11051	62626
900	11063	62610
901	11074	62592
902	11086	62576
903	11127	62728
904	11146	62752
905	11157	62735
906	11166	62704
907	11178	62689
908	11189	62670
909	11200	62647
910	11212	62633
911	11224	62622
912	11237	62612
913	11249	62598
914	11259	62575
915	11271	62557
916	11281	62532
917	11292	62512
918	11305	62503
919	11314	62474
920	11326	62461
921	11340	62458
922	11352	62443
923	11362	62418
924	11374	62408
925	11387	62399
926	11402	62399
927	11419	62415
928	11438	62439
929	11453	62441
930	11466	62432
931	11476	62407
932	11490	62403
933	11502	62389
934	11512	62363
935	11524	62349
936	11540	62357
937	11583	62511
938	11600	62525
939	11610	62499
940	11621	62481
941	11635	62474
942	11645	62448
943	11657	62438
944	11669	62421
945	11681	62407
946	11691	62381
947	11703	62371
948	11716	62362
949	11737	62393
950	11752	62397
951	11767	62397
952	11776	62368
953	11787	62348
954	11800	62338
955	11814	62333
956	11826	62319
957	11846	62348
958	11863	62361
959	11882	62382
960	11899	62397
961	11911	62382
962	11929	62395
963	11940	62377
964	11954	62373
965	11971	62383
966	11982	62366
967	11993	62348
968	12003	62319
969	12014	62299
970	12028	62295
971	12039	62280
972	12052	62268
973	12064	62254
974	12072	62221
975	12084	62203
976	12096	62192
977	12105	62159
978	12116	62142
979	12164	62311
980	12181	62320
981	12195	62316
982	12209	62316
983	12224	62315
984	12236	62298
985	12249	62292
986	12260	62272
987	12270	62247
988	12282	62230
989	12294	62217
990	12306	62202
991	12316	62176
992	12327	62157
993	12338	62138
