iter	MAPE	RMSE	R2	MAE
87	0.02082907657	0.2737923418	0.9169239301	0.1858263386
88	0.02078050508	0.2732654321	0.9172433799	0.1853592658
89	0.02075215981	0.2729408239	0.917439874	0.185109275
90	0.02072590775	0.2725850396	0.9176549716	0.1848593841
91	0.02068097302	0.2721177266	0.9179370701	0.1844464969
92	0.02066040658	0.2718575018	0.9180939478	0.1842517697
93	0.02064405988	0.2716123916	0.9182415763	0.1840977057
94	0.02060006564	0.2711414279	0.9185248613	0.1836935094
95	0.02058373063	0.2709746418	0.9186250654	0.1835500766
96	0.02054349238	0.27060622	0.9188461925	0.1831890105
97	0.02052808161	0.2703595045	0.9189941032	0.1830504886
98	0.02051437806	0.2701598537	0.9191136989	0.182936312
99	0.02049440586	0.2697685784	0.9193478262	0.1827485756
100	0.02046088167	0.2694156707	0.9195587044	0.1824057586
101	0.02044312168	0.2691729912	0.9197035561	0.1822500501
102	0.02042897168	0.2690190289	0.9197953862	0.1821203152
103	0.02040229299	0.2687021816	0.919984203	0.1819009378
104	0.02037029001	0.2683024886	0.920222072	0.1816144239
105	0.02034924152	0.2680950752	0.9203453703	0.1814215771
106	0.02031931222	0.2677847789	0.9205296499	0.1811462643
107	0.02029507822	0.2675195398	0.9206870017	0.1809117208
108	0.0202596829	0.2671126742	0.9209280697	0.1806003873
109	0.02023342049	0.2667840649	0.9211225028	0.1803676907
110	0.02019636913	0.2663906354	0.9213549744	0.1800244882
111	0.02017357	0.2660841363	0.9215358424	0.1798218546
112	0.02015464881	0.2658835081	0.9216541221	0.1796512833
113	0.02013537869	0.2656652753	0.9217826794	0.1794768911
114	0.02011509439	0.2654314934	0.9219202792	0.1792811447
115	0.02009319161	0.2651969429	0.9220582097	0.1790769479
116	0.02005463246	0.2647726934	0.9223073854	0.178709289
117	0.02004096466	0.2646023016	0.9224073498	0.1785732846
118	0.02002747373	0.2643992547	0.9225263881	0.1784516111
119	0.02000409721	0.2641232599	0.9226880463	0.1782375178
120	0.01998664125	0.2638272814	0.9228612219	0.1780754111
121	0.01996631136	0.2635570713	0.923019151	0.177900253
122	0.01994218872	0.2632534426	0.9231964191	0.1776851095
123	0.01992759532	0.2630556406	0.9233117923	0.1775436367
124	0.01989201098	0.262700209	0.9235188892	0.177226965
125	0.01987849227	0.2625269002	0.9236197682	0.1771039496
126	0.0198612367	0.2623089689	0.9237465266	0.1769587694
127	0.01981692286	0.2618962808	0.9239862755	0.1765650965
128	0.01978023696	0.2615268236	0.9242005894	0.1762287639
129	0.01973183267	0.2610224351	0.9244926855	0.1757708694
130	0.01970003179	0.2606700869	0.9246963991	0.1755116734
131	0.01966971956	0.2603671055	0.9248713508	0.175251745
132	0.0196466586	0.2600715002	0.9250418471	0.1750474618
133	0.01963291774	0.2598580182	0.9251648567	0.1749347813
134	0.01961027427	0.2595909661	0.9253185915	0.1747119911
135	0.01959233446	0.2593759032	0.9254422827	0.174562166
136	0.01955843073	0.2590602931	0.9256236168	0.1742364526
137	0.01954570557	0.2588930799	0.9257195998	0.1741201429
138	0.01952495231	0.2586198456	0.9258763073	0.173943206
139	0.01950765617	0.258385866	0.9260103696	0.1737973625
140	0.01949327194	0.2581788249	0.9261288959	0.1736739469
141	0.01948529559	0.2580475095	0.9262040217	0.1736063777
142	0.01945992908	0.257728615	0.9263863028	0.1733707988
143	0.01943434078	0.2574475569	0.9265467696	0.1731397874
144	0.01941285143	0.2572170396	0.92667825	0.1729334922
145	0.01939602166	0.2570285444	0.9267856748	0.1727784811
146	0.01937985976	0.2568275842	0.9269001166	0.1726307689
147	0.01933290209	0.2563763016	0.9271567847	0.1722037305
148	0.01931969266	0.2562209329	0.9272450466	0.1720771151
149	0.01929173794	0.2559450393	0.9274016444	0.1718227058
150	0.0192707957	0.2556984111	0.9275414883	0.1716407215
151	0.01926312118	0.2555614237	0.9276191051	0.1715768902
152	0.01924619438	0.2553945705	0.9277135876	0.1714139016
153	0.01923241992	0.2551893954	0.9278296857	0.171300159
154	0.0192112397	0.2549409283	0.9279701557	0.1711066333
155	0.01920093982	0.2547617933	0.928071344	0.1710186935
156	0.01916344922	0.2543820558	0.928285612	0.1706580135
157	0.01915265354	0.2542260583	0.9283735415	0.1705683732
158	0.01914502892	0.2541414031	0.9284212356	0.1704996715
159	0.01911510515	0.2537861305	0.9286212203	0.1702194069
160	0.01909706609	0.2536003834	0.9287256669	0.1700487433
161	0.01907731777	0.2534220547	0.9288258701	0.1698683403
162	0.01905870709	0.2532222413	0.928938062	0.1697107143
163	0.01903682788	0.2530346405	0.929043316	0.1695007268
164	0.01901492865	0.2528160662	0.9291658496	0.169313485
165	0.01899712783	0.2526318781	0.9292690238	0.1691615033
166	0.01898355427	0.2524394738	0.9293767201	0.169037786
167	0.01897130878	0.2523065549	0.9294510722	0.1689272701
168	0.01895889858	0.2521442261	0.9295418224	0.1688196103
169	0.01894580146	0.2519602863	0.9296445838	0.1687094703
170	0.01892788694	0.2517778664	0.9297464218	0.1685298097
171	0.01892625897	0.2517228406	0.9297771262	0.1685163921
172	0.01891058399	0.2515059781	0.9298980699	0.1683765152
173	0.01888954716	0.2512822305	0.9300227442	0.1681819555
174	0.01887136048	0.2510839448	0.9301331381	0.1680178384
175	0.01885419508	0.2509267004	0.9302206206	0.1678500533
176	0.01883953168	0.2507570446	0.9303149468	0.1677244418
177	0.01882269366	0.250588999	0.9304083148	0.1675621638
